id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3074800,Victorian semi-detached family home,15573617,Mark,,Kingston upon Thames,51.40856156,-0.290723153,Entire home/apt,150,2,9,08/08/2016,0.63,1,20
14481002,One Bedroom Apartment for 4 (Brand New),25034544,Riz,,Kingston upon Thames,51.38086722,-0.281131847,Entire home/apt,57,2,3,30/09/2016,3,4,178
6875789,"Brigtht, spacious house near London",25556139,Ozlem,,Kingston upon Thames,51.42035205,-0.290536058,Entire home/apt,165,3,4,13/08/2016,0.3,1,338
8319203,"Studio flat nr Twickenham, 2-3ppl",43857573,Jessica,,Kingston upon Thames,51.41264103,-0.28726055,Entire home/apt,69,1,1,21/09/2015,0.08,1,0
12512426,Modern 2 bedroom apartment,67763598,Russell,,Kingston upon Thames,51.38776418,-0.298822169,Entire home/apt,70,1,3,14/08/2016,1.15,1,310
12250201,Large 4 bed house (unfurnished),65800295,Julia,,Kingston upon Thames,51.40592523,-0.306588343,Entire home/apt,199,7,0,,,1,0
8448233,Spacious 1 bedroom home in Surbiton,9529773,Renee,,Kingston upon Thames,51.38727978,-0.302192597,Entire home/apt,59,7,1,05/01/2016,0.11,1,337
10673656,Comfortable flat in convenient location,52741688,Stan,,Kingston upon Thames,51.39592111,-0.30540387,Entire home/apt,60,5,3,20/07/2016,0.58,1,153
5429009,Lovely family home,24608786,Hannes,,Kingston upon Thames,51.3975795,-0.29691861,Entire home/apt,185,5,1,09/08/2016,0.54,1,7
7043527,Spacious 1 bed flat near station,36933760,Marianne,,Kingston upon Thames,51.41511183,-0.286468293,Entire home/apt,58,1,7,12/09/2016,0.46,1,208
13553007,Modern 3 Bedroom Apartment in Wimbledon,33889201,Tom,,Kingston upon Thames,51.43234106,-0.265713156,Entire home/apt,390,3,0,,,607,0
14994627,2 x Bedroom 2 x Bathroom Apartment,25034544,Riz,,Kingston upon Thames,51.38091717,-0.280194414,Entire home/apt,90,2,0,,,4,113
6735259,Modern and cute Victorian Cottage,35271724,Tracy,,Kingston upon Thames,51.40703841,-0.306353168,Entire home/apt,150,3,4,26/02/2016,0.27,1,18
6995759,Riverside house close to station,21129575,Simon,,Kingston upon Thames,51.42061222,-0.304543242,Entire home/apt,251,3,0,,,1,0
13417554,"Great Location, Riverside - Modern Double Bedroom",46117277,Adam,,Kingston upon Thames,51.41572786,-0.305248397,Entire home/apt,60,3,2,27/08/2016,0.76,1,0
12105029,Double room,64907250,Hanna,,Kingston upon Thames,51.4071983,-0.293780949,Entire home/apt,60,2,9,16/08/2016,1.66,1,158
13021521,"6 MONTH RENTAL IN KINGSTON, BEAUTIFULLY APPOINTED",71897892,Linda,,Kingston upon Thames,51.41033042,-0.306661867,Entire home/apt,160,5,2,30/07/2016,0.82,1,12
4501112,3 bed Modernised Victorian House,23343766,Caroline,,Kingston upon Thames,51.41467333,-0.2902915,Entire home/apt,251,3,1,31/05/2015,0.06,1,364
10267334,"Clean, modern, minimal with garden",7732315,Bella,,Kingston upon Thames,51.4073643,-0.284666198,Entire home/apt,60,2,6,13/07/2016,0.68,2,335
9225662,Parkside house Jacuzzi & Steam Room,47965749,Chris,,Kingston upon Thames,51.40689033,-0.296316312,Entire home/apt,350,2,1,16/11/2015,0.09,1,3
4363188,Large 4 Bed family home with garden,22648205,Claire,,Kingston upon Thames,51.40872945,-0.297332006,Entire home/apt,200,7,0,,,1,0
13404033,"3 bedroom Kingston Upon Thames, sleeps 5",76303391,Clare,,Kingston upon Thames,51.41812369,-0.289858715,Entire home/apt,220,3,0,,,1,0
2523788,Magnificent 3 Bed Townhouse in SW London,3478187,Jaz,,Kingston upon Thames,51.39516536,-0.30533247,Entire home/apt,83,3,6,04/09/2016,0.58,2,79
13272653,Spacious flat with superb riverside location,11457757,Robert,,Kingston upon Thames,51.40917562,-0.307463494,Entire home/apt,175,7,0,,,1,0
11353683,3 bed family home in Kingston,52632402,Roz,,Kingston upon Thames,51.40715132,-0.289799027,Entire home/apt,200,1,0,,,2,362
13712199,Between the River and Royal Parks,56080333,Gemma,,Kingston upon Thames,51.42236388,-0.299202059,Entire home/apt,239,5,1,03/09/2016,1,1,0
13842286,4 Bedroom Townhouse in Surbiton,80649036,Paul,,Kingston upon Thames,51.38666224,-0.300141972,Entire home/apt,200,3,0,,,1,363
754867,Surbiton luxury Stratton Flat for 6,1794020,Martin,,Kingston upon Thames,51.3964037,-0.301411919,Entire home/apt,99,4,16,22/07/2016,0.38,2,250
12144478,Beautiful 1 bedroom flat - Surbiton,65199065,Katie & Ross,,Kingston upon Thames,51.38857816,-0.301145175,Entire home/apt,90,1,0,,,1,0
15014489,Charming 2 Double Bed Garden Aprtmt,94760807,David,,Kingston upon Thames,51.38949675,-0.299899115,Entire home/apt,73,2,0,,,1,90
5792207,Victorian conversion in Surbiton,30049644,Anya,,Kingston upon Thames,51.39074705,-0.306240946,Entire home/apt,90,14,0,,,1,0
10920533,New STUDIO[=Apartment]--20 Mins to London Waterloo,56469941,Young 영원,,Kingston upon Thames,51.39169516,-0.24496447,Entire home/apt,35,2,22,01/10/2016,3,2,156
12439357,Victorian 3 bed semi detached house,26759114,Christian,,Kingston upon Thames,51.40933497,-0.29383365,Entire home/apt,249,7,1,28/06/2016,0.31,3,365
15217173,Belle maison calme Sud Ouest Londres,66553928,Caroline Et Alan,,Kingston upon Thames,51.3976031,-0.282428857,Entire home/apt,117,3,0,,,4,97
13939449,Four bedroom home by River Thames,19913130,Yulia,,Kingston upon Thames,51.42968504,-0.30965204,Entire home/apt,150,3,1,10/08/2016,0.55,1,295
8530757,"Entire 2-bed flat in New Malden, close to Kingston",1950396,Linsey,,Kingston upon Thames,51.40091817,-0.273234118,Entire home/apt,150,3,0,,,2,262
4458068,London's Best 5 Bedroom Family Home,23107690,Ryan,,Kingston upon Thames,51.42650498,-0.302692586,Entire home/apt,234,1,8,22/08/2016,0.55,1,90
11150252,New house near Kingston town Centre,22791764,Haider,,Kingston upon Thames,51.4075365,-0.289395205,Entire home/apt,251,14,0,,,4,363
12196699,2 BEDROOM FLAT -CLOSE TO CENTRAL,65568682,Dominika,,Kingston upon Thames,51.39789344,-0.309144134,Entire home/apt,80,4,0,,,2,0
13501650,Kingston University Chancellors Halls of Residence,77447824,Cristina,,Kingston upon Thames,51.42861424,-0.265182385,Entire home/apt,35,1,1,15/07/2016,0.37,2,52
13374966,Stunning Double bedroom apartment with Garden,75945065,Zoe,,Kingston upon Thames,51.39331386,-0.291941708,Entire home/apt,89,7,2,13/09/2016,0.59,1,363
14171678,A gorgeous Victorian 2 bed flat,43159893,Paul,,Kingston upon Thames,51.37989731,-0.296066983,Entire home/apt,150,1,1,29/08/2016,0.83,1,348
9731112,Lovely house 22 min train to London with a Hot Tub,4671802,Kathy,,Kingston upon Thames,51.40242345,-0.251480607,Entire home/apt,96,3,4,07/08/2016,0.53,1,0
1604261,"2 bed house, Kingston, London",4237663,Jonathan,,Kingston upon Thames,51.40538291,-0.294934947,Entire home/apt,135,4,19,10/09/2016,0.53,1,261
4356007,Luxury victorian 5 bed family home,22611343,Lucy,,Kingston upon Thames,51.41474554,-0.289594283,Entire home/apt,325,2,22,24/08/2016,1.22,2,116
