id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
14541148,1 double room in Surbiton close to station,65568682,Dominika,,Kingston upon Thames,51.39762069,-0.308128968,Private room,50,1,2,27/08/2016,1.3,2,283
14145769,Brook Kingston Lodge Hotel,75596347,Brook Kingston Lodge Hotel,,Kingston upon Thames,51.41781924,-0.280563194,Private room,100,1,0,,,1,89
5363484,Cosy and en-suite double bed room,21324070,Ju,,Kingston upon Thames,51.41373745,-0.299799656,Private room,40,1,5,21/09/2016,0.26,1,291
14940149,1 double Bed Norbiton flat,40637058,Yibing,,Kingston upon Thames,51.41332469,-0.28139385,Private room,35,1,0,,,1,171
4836957,Modern room 25m from Central London,18154504,Anas,,Kingston upon Thames,51.41148217,-0.290704075,Private room,50,1,15,07/09/2016,0.87,1,307
13355982,Lovely double bedroom in Kingston Upon Thames,75741819,Maria,,Kingston upon Thames,51.41585101,-0.28649628,Private room,24,1,2,27/07/2016,0.67,1,0
9094012,Cozy & modern - 20 mins to Waterloo,45714216,Katie,,Kingston upon Thames,51.38911529,-0.298951422,Private room,45,1,6,17/09/2016,0.66,1,360
6407792,Double room with own bathroom,12408381,Charlotte,,Kingston upon Thames,51.3855749,-0.245376649,Private room,50,1,0,,,1,0
8898110,Cosy midi room in warm family home.,46547883,Joanne,,Kingston upon Thames,51.40010705,-0.298410292,Private room,42,1,4,21/07/2016,0.34,1,344
13483820,Lovely double bedroom in house SW London,66553928,Caroline Et Alan,,Kingston upon Thames,51.3978897,-0.283370711,Private room,33,3,0,,,4,27
637508,Lovely Double Rm for Holiday Rental,3179560,Geo,,Kingston upon Thames,51.39468441,-0.256648069,Private room,60,1,0,,,1,0
3123162,"Perfect for Wimbledon, ensuite room",6543906,Sug Joon,,Kingston upon Thames,51.3896596,-0.258382694,Private room,60,2,0,,,4,365
13083241,Large double room with en-suite,54501587,Marie,,Kingston upon Thames,51.41826596,-0.301126574,Private room,57,1,3,23/08/2016,0.97,1,346
15253211,Close to Richmond park,97005411,S,,Kingston upon Thames,51.42294639,-0.302954909,Private room,50,1,0,,,1,365
9020269,Spacious Room next to Richmond Park,47094767,Marcus,,Kingston upon Thames,51.41945318,-0.286341833,Private room,30,1,1,08/11/2015,0.09,1,0
14000448,White House R2,83582172,Grace,,Kingston upon Thames,51.36073624,-0.308966666,Private room,46,2,1,18/09/2016,1,4,339
5479872,Large sunny double bedroom ,15613593,Jiayi,,Kingston upon Thames,51.4105908,-0.282484774,Private room,60,1,0,,,1,0
14393265,In the heart of buzzy Kingston!,14622751,Alexia,,Kingston upon Thames,51.40740446,-0.300682004,Private room,43,1,1,21/08/2016,0.68,1,364
13911152,Double Room in Central Kingston,17085262,Riccardo,,Kingston upon Thames,51.41087834,-0.300862744,Private room,23,1,9,19/09/2016,3.18,2,328
3766472,"Bright, clean room near University",4922173,Martha,,Kingston upon Thames,51.40326927,-0.30613446,Private room,35,1,10,23/09/2016,0.4,1,286
13857967,Small well designed single with high bed,8581542,Lesley,,Kingston upon Thames,51.39883236,-0.293539037,Private room,40,3,0,,,1,89
