,LSOA,Assault With Injury,Common Assault,Harassment,Murder,Offensive Weapon,Other Violence,Personal Property,Theft Person,Wounding/GBH
205,E01000214,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
206,E01000215,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
207,E01000216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,E01000217,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
209,E01000218,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
210,E01000219,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
211,E01000220,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,E01000221,1.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0
213,E01000222,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0
214,E01000223,4.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0
215,E01000224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,E01000225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,E01000226,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
218,E01000227,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
219,E01000228,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
220,E01000229,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
221,E01000230,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,E01000231,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
223,E01000232,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
224,E01000233,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
225,E01000234,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
226,E01000235,3.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,1.0
227,E01000236,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,E01000237,6.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0
229,E01000238,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
230,E01000239,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,E01000240,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
232,E01000241,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
233,E01000242,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
234,E01000243,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0
235,E01000244,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
236,E01000245,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
237,E01000246,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
238,E01000247,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
239,E01000248,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0
240,E01000249,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
241,E01000250,2.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0
242,E01000251,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
243,E01000252,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
244,E01000253,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
245,E01000254,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,E01000255,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
247,E01000256,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
248,E01000257,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
249,E01000258,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
250,E01000259,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
251,E01000260,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
252,E01000261,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,E01000262,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
254,E01000263,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
255,E01000264,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
256,E01000265,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
257,E01000266,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
258,E01000267,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
259,E01000268,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
260,E01000269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,E01000270,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
262,E01000271,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
263,E01000272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,E01000273,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
265,E01000274,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
266,E01000275,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
267,E01000276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,E01000277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
269,E01000278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,E01000279,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
271,E01000280,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,E01000281,2.0,1.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0
273,E01000282,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,E01000283,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
275,E01000284,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0
276,E01000285,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
277,E01000286,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
278,E01000287,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
279,E01000288,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
280,E01000289,1.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
281,E01000290,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,E01000291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
283,E01000292,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
284,E01000293,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
285,E01000294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
286,E01000295,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,E01000296,1.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,2.0
288,E01000297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,E01000298,2.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
290,E01000299,2.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0
291,E01000300,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
292,E01000301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,E01000302,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
294,E01000303,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,E01000304,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
296,E01000305,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
297,E01000306,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
298,E01000307,3.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0
299,E01000308,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
300,E01000309,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
301,E01000310,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
302,E01000311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,E01000312,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
304,E01000313,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0
305,E01000314,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
306,E01000315,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
307,E01000316,1.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0
308,E01000317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
309,E01000318,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
310,E01000319,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
311,E01000320,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
312,E01000321,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
313,E01000322,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
314,E01000323,3.0,6.0,5.0,0.0,0.0,0.0,1.0,1.0,2.0
315,E01000324,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
316,E01000325,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317,E01000326,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
318,E01000327,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
319,E01000328,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
320,E01000329,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
